Author,Section,Question,Answer,Category,A1,A2,A3
Automatic Summary,2.0,What do modern conversational agents rely on?,more sophisticated understanding of the user's intent,Acceptable,Y,N,N
Human Summary,2.0,What does edit distance evaluate?,degree of resemblance between two strings,Acceptable,Y,Y,Y
Automatic Summary,2.0,What is an example of a hashtag?,#nlproc,Acceptable,N,N,N
Human Summary,2.0,What is the most important tool for text pattern characterization?,Regular expressions,Acceptable,Y,Y,Y
Automatic Summary,2.0,What language doesn't have spaces between words?,Japanese,Acceptable,Y,Y,Y
Original Text,2.0,What is an algorithm with applications throughout language processing?,Edit distance,Acceptable,Y,N,N
Human Summary,2.0,What is the process of finding root words of inflected words?,Lemmatization,Acceptable,Y,Y,Y
Automatic Summary,2.1.0,What types of regular expressions do regular expressions come in?,variants,Acceptable,Y,N,N
Automatic Summary,2.1.0,What is an algebraic notation for characterizing a set of strings?,regular expression,Acceptable,Y,Y,Y
Original Text,2.1.1,What can be used to specify what a single character cannot be?,square braces,Acceptable,Y,N,N
Human Summary,2.1.1,What is an algebraic notation for characterizing a set of strings that is useful for searching for a pattern or through a corpus?,The regular expression,Acceptable,Y,Y,Y
Human Summary,2.1.1,What specifies a disjunction of characters that can be matched in a position in a longer regular expression?,Square braces,Acceptable,Y,Y,Y
Original Text,2.1.1,What will /a*/ match?,match a or aaaaa,Acceptable,Y,Y,Y
Human Summary,2.1.1,What does the (?) mean?,the preceding character or nothing,Acceptable,Y,N,N
Automatic Summary,2.1.1,"How many ways to specify ""at least one"" of some character?",two,Acceptable,N,N,N
Original Text,2.1.1,What is the first symbol after the open square brace?,a,Acceptable,N,N,N
Original Text,2.1.1,What specifies a disjunction of characters to match?,The string of characters inside the braces,Acceptable,Y,N,Y
Original Text,2.1.1,What is it like to have to write the regular expression for digits twice?,annoying,Acceptable,Y,N,N
Original Text,2.1.1,What does the pattern /[2-5]/ specify?,"any one of the characters 2, 3, 4, or 5",Acceptable,Y,Y,Y
Human Summary,2.1.1,What is a simple type of regular expressions?,a sequence of characters,Acceptable,Y,Y,N
Original Text,2.1.1,What do square brackets not allow us to say?,s or nothing,Acceptable,N,N,N
Original Text,2.1.1,What is an integer?,a string of digits,Acceptable,N,N,N
Automatic Summary,2.1.1,"What means ""any string of zero or more as""?",/a*/,Acceptable,N,Y,Y
Original Text,2.1.1,What is the regular expression used to specify this?,/aardvark,Acceptable,N,N,N
Original Text,2.1.1,What can be used to solve this problem?,square braces,Acceptable,N,N,N
Original Text,2.1.1,What does the caret stand for if it occurs anywhere else?,a caret,Acceptable,Y,N,N
Human Summary,2.1.2,"What does (( )) mean ""and""?",Parentheses,Acceptable,N,N,N
Original Text,2.1.2,What operator applies by default only to a single character?,Kleene*,Acceptable,Y,N,Y
Automatic Summary,2.1.2,When do we need to use the disjunction operator?,in the midst of a larger sequence,Acceptable,Y,Y,Y
Original Text,2.1.2,What is another way to enforce non-greedy matching?,qualifier,Acceptable,Y,Y,Y
Human Summary,2.1.2,Non-greedy matching can be enforced by what?,question mark qualifier,Acceptable,Y,Y,Y
Automatic Summary,2.1.2,What is the operator *??,Kleene star,Acceptable,N,Y,Y
Original Text,2.1.2,What can be ambiguous in another way?,Patterns,Acceptable,N,N,N
Human Summary,2.1.2,"When regular expressions are not matched, we match them with what?",largest string they can,Acceptable,Y,Y,N
Original Text,2.1.2,What would we want to search for in a text about pets?,string cat or the string dog,Acceptable,N,N,N
Original Text,2.1.2,What takes precedence over the disjunction operator?,sequences like guppy,Acceptable,Y,N,N
Automatic Summary,2.1.2,What is another name for the disjunction operator?,pipe symbol,Acceptable,Y,Y,Y
Human Summary,2.1.3,Less false negatives errors mean more what?,recall,Acceptable,Y,Y,Y
Automatic Summary,2.1.3,What is an example of an incorrect pattern?,/the/,Acceptable,Y,N,Y
Automatic Summary,2.1.3,What is the pattern that will miss the word when it begins a sentence?,/[tT]he/,Acceptable,Y,N,N
Human Summary,2.1.3,What increases precision and recall?,Reducing error,Acceptable,N,N,N
Automatic Summary,2.1.4,Where can a range of numbers be specified by enclosing them?,curly brackets,Acceptable,N,N,N
Original Text,2.1.4,Special characters are referred to by special notation based on what?,backslash,Acceptable,Y,N,Y
Human Summary,2.1.4,What can you specify?,the number of an instance in a pattern,Acceptable,N,N,N
Human Summary,2.1.4,What can you specify?,the number of an instance in a pattern,Acceptable,N,N,N
Automatic Summary,2.1.5,What is a simple regular expression for a dollar sign followed by a string of digits?,/$[0-9+/,Acceptable,Y,N,Y
Original Text,2.1.5,What do we need to allow for optional fractions?,disk space,Acceptable,Y,N,N
Original Text,2.1.5,What do we want to help a user buy a computer on the Web?,build an application,Acceptable,N,N,N
Original Text,2.1.5,What will we add after the decimal point and two digits?,a decimal point and two digits,Acceptable,N,N,N
Automatic Summary,2.1.5,What does this pattern only allow?,$199.99,Acceptable,N,N,N
Automatic Summary,2.1.5,What do we need to allow for?,optional fractions,Acceptable,N,N,N
Human Summary,2.1.6,When does the command(? :) indicate a non-capturing group?,after an opening parenthesis,Acceptable,Y,N,Y
Original Text,2.1.6,What can the parenthesis and number operators specify?,a certain string or expression must occur twice in the text,Acceptable,Y,N,N
Original Text,2.1.6,Creating patterns is the topic of what exercise?,Exercise 2.3,Acceptable,N,N,N
Human Summary,2.1.6,Capture group means using what to store a pattern in memory?,parentheses,Acceptable,Y,Y,N
Automatic Summary,2.1.6,What does the next set of substitutions do in the input?,matches and replaces other patterns,Acceptable,N,N,N
Human Summary,2.1.7,What is used to rule out special cases while parsing complex pattern?,Negative lookahead,Acceptable,Y,Y,N
Original Text,2.1.7,"What do we use when we want to match, at the beginning of a line, any single word that doesn't start with ""Volcano",negative lookahead,Acceptable,N,N,Y
Automatic Summary,2.1.7,"The operator (?= pattern) is true if pattern occurs, but is zero-width, i.e. what doesn't advance",match pointer,Acceptable,N,N,N
Automatic Summary,2.1.7,What is commonly used when we are parsing complex patterns but want to rule out a special case?,Negative lookahead,Acceptable,Y,Y,Y
Automatic Summary,2.2,What is a million-word collection of samples from 500 written English texts from different genres called?,The Brown corpus,Acceptable,Y,Y,Y
Original Text,2.2,What is the relationship between the number of types |V | and number of tokens N called?,Herdan's Law,Acceptable,Y,Y,Y
Original Text,2.2,What word has the same lemma cat but are different wordforms?,cats,Acceptable,N,N,N
Human Summary,2.2,What are utterances?,spoken sentences,Acceptable,Y,Y,Y
Human Summary,2.2,"What is a set of lexical forms that share the steam, major part-of-speech, and word sense?",A lemma,Acceptable,Y,Y,Y
Original Text,2.2,What is the main part of an utterance?,business data processing,Acceptable,Y,N,N
Original Text,2.2,What do we sometimes keep around?,disfluencies,Acceptable,N,Y,N
Original Text,2.2,What corpus of American English telephone conversations between strangers was collected in the early 1990s?,Switchboard,Acceptable,Y,Y,N
Human Summary,2.2,How can we differentiate the number of words?,by counting tokens or types,Acceptable,Y,Y,Y
Automatic Summary,2.2,What are words like uh and um called fillers?,filled pauses,Acceptable,Y,N,N
Human Summary,2.2,What is the rough upper limit for the number of possible lemmas?,Dictionary entries or boldface forms,Acceptable,Y,Y,N
Original Text,2.3,How does a corpus of texts from different historical periods change?,Language changes over time,Acceptable,Y,N,N
Original Text,2.3,What do most languages have?,multiple varieties,Acceptable,N,N,N
Original Text,2.3,What language was the corpus in?,What language,Acceptable,N,N,N
Human Summary,2.3,What specifies properties of a dataset used in the development of computational models?,data statement,Acceptable,Y,Y,N
Original Text,2.3,When are NLP algorithms most useful?,when they apply across many languages,Acceptable,N,Y,N
Human Summary,2.3,What are some variations in languages?,"dialect, code switching, genre",Acceptable,Y,Y,Y
Original Text,2.3,What is the context of a corpus?,When and in what situation was the text written/spoken,Acceptable,Y,Y,Y
Automatic Summary,2.3,"When developing computational models for language processing from a corpus, it's important to consider what?","who produced the language, in what context, for what purpose",Acceptable,Y,Y,Y
Automatic Summary,2.3,How does a corpus of texts from different historical periods change?,Language changes over time,Acceptable,Y,Y,N
Automatic Summary,2.4.0,"Before almost any natural language processing of a text, the text has to be what?",normalized,Acceptable,Y,Y,Y
Automatic Summary,2.4.0,What is the term for segmenting words?,Tokenizing,Acceptable,Y,Y,Y
Automatic Summary,2.4.0,How do we go through each of these tasks?,walk through,Acceptable,N,N,N
Automatic Summary,2.4.1,What are the most frequent words in Shakespeare?,"articles, pronouns, prepositions",Acceptable,Y,Y,N
Human Summary,2.4.1,"Unix can collapse, sort, and build statistics for the words in a corpus using commands such as what?",tr,Acceptable,Y,Y,Y
Human Summary,2.4.1,What are the minimal tasks applied as part of any normalization process?,"Tokenizing words, normalizing word formats, and segmenting sentences",Acceptable,Y,Y,Y
Human Summary,2.4.1,What command in Unix changes particular characters in the input?,The tr command,Acceptable,Y,Y,Y
Automatic Summary,2.4.1,What can Unix tools be useful for?,building quick word count statistics,Acceptable,Y,Y,N
Human Summary,2.4.1,What are some examples of function words?,"articles, pronouns, and prepositions",Acceptable,Y,Y,Y
Human Summary,2.4.1,What are the most frequent words?,function words,Acceptable,Y,Y,N
Human Summary,2.4.2,What must we account for according to where and how they are used?,punctuation and special characters,Acceptable,N,N,N
Automatic Summary,2.4.2,How many characters long are words on average?,2.4,Acceptable,Y,Y,Y
Human Summary,2.4.2,"What is the identification of names, dates, organizations, etc?",Named entity recognition,Acceptable,Y,Y,Y
Human Summary,2.4.2,What do algorithms have to deal with?,ambiguities,Acceptable,Y,N,N
Original Text,2.4.2,What is a unit of meaning called?,a morpheme,Acceptable,Y,N,Y
Human Summary,2.4.2,What language requires word segmentation?,Japanese,Acceptable,Y,N,N
Automatic Summary,2.4.2,What NLP algorithms require algorithms for word segmentation?,Japanese and Thai,Acceptable,N,N,N
Human Summary,2.4.2,What language has no spaces?,Chinese,Acceptable,Y,N,Y
Original Text,2.4.2,How are neural sequence models trained?,supervised machine learning,Acceptable,Y,Y,Y
Original Text,2.4.2,What are characters called in Chinese?,hanzi,Acceptable,Y,N,Y
Automatic Summary,2.4.3,What runs on the test data the merges we have learned from the training data?,The token parser,Acceptable,Y,Y,Y
Human Summary,2.4.3,Tokenizers often do what in order to solve the unknown word problem?,induce subwords,Acceptable,Y,Y,Y
Human Summary,2.4.3,What implements both byte-pair encoding and unigram language modeling?,a SentencePiece library,Acceptable,N,Y,Y
Original Text,2.4.3,What is one of the three algorithms used by the token learner?,byte-pair encoding,Acceptable,N,N,Y
Automatic Summary,2.4.3,What is another name for a corpus that NLP algorithms learn from?,training corpus,Acceptable,Y,Y,N
Original Text,2.4.3,What is the smallest meaning-bearing unit of a language?,morpheme,Acceptable,Y,Y,Y
Human Summary,2.4.3,What library implements byte-pair encoding and unigram language modeling?,The SentencePiece library,Acceptable,Y,Y,Y
Human Summary,2.4.3,What induces a set of tokens from raw data?,token learner,Acceptable,Y,Y,Y
Original Text,2.4.3,Why does the token parser run on the test data?,the frequencies in the test data don't play a role,Acceptable,N,N,Y
