Author,Section,Question,Answer
Human Summary (A1),2.0,What was an early natural language processing system that used pattern matching to recognize phrases?,ELIZA
Human Summary (A1),2.0,What is ELIZA an example of?,chatbot
Human Summary (A1),2.0,What is the most important tool for text pattern characterization?,Regular expressions
Human Summary (A1),2.0,What uses regular expressions to convert text into a more standard form?,Text normalization
Human Summary (A1),2.0,What breaks a sentence into a sequence of words and punctuation marks?,tokenizing
Human Summary (A1),2.0,What is the process of finding root words of inflected words called?,Lemmatization
Human Summary (A1),2.0,What is the process of finding root words of inflected words?,Lemmatization
Human Summary (A1),2.0,What removes suffixes from words?,stemming
Human Summary (A1),2.0,What is a measure of similarity between two strings?,Edit distance
Human Summary (A1),2.1.1,What are case sensitive?,Regular expressions
Human Summary (A1),2.1.1,What specifies a disjunction of characters that can be matched in a position in a longer regular expression?,Square braces
Human Summary (A1),2.1.1,What does the regular expression /[012]/ match to?,"any digit among 0, 1, and 2"
Human Summary (A1),2.1.1,What indicates a range of characters?,dash
Human Summary (A1),2.1.1,"When a caret() is used within square braces as the first symbol, what does it indicate?",it indicates that the pattern behind it is negated
Human Summary (A1),2.1.1,What is indicated by the question mark?,Optional elements
Human Summary (A1),2.1.1,Optional elements are indicated by the question mark(?) which means what can be included or not?,the character preceding the question mark
Human Summary (A1),2.1.1,What does the Kleene star mean?,0 or more occurrences
Human Summary (A1),2.1.1,What does the Kleene + mean?,1 or more occurrences
Human Summary (A1),2.1.1,What is a wildcard expression that matches any single character?,The period
Human Summary (A1),2.1.1,What is the period(.)?,a wildcard expression
Human Summary (A1),2.1.1,The wildcard does not match with what?,carriage return
Human Summary (A1),2.1.1,What can the wildcard match with the Kleene star?,any string of characters
Human Summary (A1),2.1.1,What are symbols that anchor regular expressions to certain positions?,Anchors
Human Summary (A1),2.1.1,What symbol matches the end of a line?,dollar sign
Human Summary (A1),2.1.1,What is an anchor that matches with a boundary?,Backslash-b
Human Summary (A1),2.1.2,What does disjunction use?,pipe symbol
